Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
YY GEM  ,  ,         2448348.7,  6.08E-014,  2.40E-014,  6.96E-014,  1.30E-013,  1.17E-014,  2.57E-014,  2.25E-013,  1.88E-014,  8.47E-014,  7.72E-014,  1.42E-014,  1.60E-013
YY GEM  ,  ,         2448348.8,  6.22E-014,  3.24E-014,  8.66E-014,  6.39E-014,  9.69E-015,  5.14E-014,  8.21E-014,  1.26E-014,  1.07E-013,  9.95E-014,  1.54E-014,  1.51E-013
YY GEM  ,  ,         2448348.9,  7.54E-014,  4.89E-014,  2.37E-013,  1.46E-013,  1.39E-014,  5.15E-014,  2.50E-013,  2.26E-014,  1.29E-013,  2.02E-013,  1.94E-014,  1.32E-013
YY GEM  ,  ,         2448349.1,  7.78E-014,  3.63E-014,  1.32E-013,  1.63E-013,  1.49E-014,  6.24E-014,  3.38E-013,  2.64E-014,  1.20E-013,  2.61E-013,  2.44E-014,  1.69E-013
YY GEM  ,  ,         2448349.2,  1.01E-013,  2.23E-014,  6.42E-015,  6.34E-015,  6.28E-015,  4.88E-014,  1.77E-013,  1.71E-014,  1.09E-013,  5.77E-014,  1.17E-014,  1.35E-013
YY GEM  ,  ,         2448349.2,  1.14E-013,  2.16E-014,  3.96E-015,  2.37E-014,  6.72E-015,  3.03E-014,  2.41E-014,  9.80E-015,  1.11E-013,  1.37E-014,  1.27E-014,  1.89E-013
YY GEM  ,  ,         2448349.3,  1.57E-013,  2.22E-014,  -7.75E-014,  8.83E-015,  1.11E-014,  1.09E-013,  3.02E-013,  2.46E-014,  1.01E-013,  3.27E-013,  1.79E-014,  -4.33E-014
YY GEM  ,  ,         2448349.6,  1.04E-013,  1.87E-014,  -3.75E-014,  -3.43E-014,  5.60E-015,  6.61E-014,  1.39E-013,  1.58E-014,  1.13E-013,  3.11E-014,  1.11E-014,  1.41E-013
YY GEM  ,  ,         2448349.7,  1.25E-014,  1.94E-014,  7.06E-014,  2.71E-014,  6.74E-015,  2.94E-014,  1.09E-013,  1.44E-014,  1.15E-013,  1.16E-013,  1.81E-014,  1.97E-013
YY GEM  ,  ,         2448349.7,  1.20E-013,  2.21E-014,  1.57E-014,  3.74E-014,  1.02E-014,  8.62E-014,  2.68E-013,  2.39E-014,  1.43E-013,  1.03E-013,  2.03E-014,  2.47E-013
YY GEM  ,  ,         2448349.8,  1.30E-013,  2.27E-014,  1.21E-014,  -1.12E-014,  7.85E-015,  9.00E-014,  2.86E-013,  2.28E-014,  1.05E-013,  1.48E-014,  1.45E-014,  2.25E-013
