Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
A CEN B ,  ,         2449867.4,  7.09E-013,  1.19E-013,  1.03E-012,  -7.55E-015,  4.95E-014,  8.97E-013,  1.70E-012,  1.18E-013,  5.09E-013,  6.29E-013,  8.68E-014,  1.04E-012
ALPHA CEN B,  ,         2449871.3,  3.62E-013,  1.13E-013,  1.15E-012,  2.97E-014,  5.13E-014,  8.92E-013,  1.58E-012,  1.17E-013,  5.67E-013,  7.82E-013,  8.51E-014,  8.42E-013
AL CEN B,  ,         2449879.3,  6.86E-013,  1.52E-013,  1.21E-012,  3.09E-013,  6.99E-014,  9.74E-013,  2.32E-012,  1.61E-013,  7.29E-013,  1.24E-012,  1.20E-013,  1.09E-012
HD 128621,  ,         2449887.2,  4.77E-013,  8.01E-014,  3.15E-013,  -1.09E-013,  4.06E-014,  8.11E-013,  1.64E-012,  1.13E-013,  4.93E-013,  9.61E-013,  9.26E-014,  8.19E-013
HD 128621,  ,         2449889.2,  -2.78E-013,  1.26E-013,  1.26E-012,  -2.21E-013,  4.77E-014,  1.06E-012,  1.52E-012,  1.15E-013,  6.50E-013,  8.62E-013,  1.00E-013,  1.06E-012
A CEN B ,  ,         2449891.2,  1.35E-012,  1.55E-013,  2.08E-013,  9.82E-014,  8.37E-014,  1.26E-012,  1.69E-012,  1.42E-013,  8.12E-013,  6.01E-013,  1.20E-013,  1.59E-012
A CEN B ,  ,         2449894.2,  1.72E-013,  3.86E-014,  1.65E-013,  9.70E-015,  1.82E-014,  2.53E-013,  4.46E-013,  3.52E-014,  1.75E-013,  3.26E-013,  3.10E-014,  2.38E-013
AL CEN B,  ,         2449900.2,  1.58E-013,  5.91E-014,  5.10E-013,  1.01E-013,  4.44E-014,  6.87E-013,  1.68E-012,  1.14E-013,  4.98E-013,  9.03E-013,  8.67E-014,  7.51E-013
HD 128621,  ,         2449908.1,  3.66E-013,  4.46E-014,  -8.82E-014,  -1.64E-014,  1.00E-014,  1.18E-013,  1.97E-013,  1.88E-014,  9.99E-014,  1.39E-013,  1.88E-014,  1.77E-013
HD 128621,  ,         2449908.2,  3.82E-013,  8.00E-014,  7.65E-013,  3.51E-013,  6.37E-014,  8.16E-013,  2.31E-012,  1.61E-013,  7.26E-013,  1.26E-012,  1.24E-013,  1.13E-012
HD 128621,  ,         2449912.1,  4.31E-013,  1.21E-013,  9.21E-013,  3.59E-013,  6.64E-014,  8.61E-013,  2.18E-012,  1.53E-013,  7.21E-013,  1.34E-012,  1.23E-013,  1.05E-012
HD 128621,  ,         2449916.0,  3.53E-013,  1.22E-013,  1.32E-012,  -6.50E-014,  6.06E-014,  1.13E-012,  2.07E-012,  1.58E-013,  8.68E-013,  1.04E-012,  1.16E-013,  1.17E-012
AL CEN B,  ,         2449920.2,  4.94E-013,  9.15E-014,  7.20E-013,  -2.55E-014,  5.08E-014,  9.43E-013,  1.70E-012,  1.18E-013,  5.28E-013,  1.00E-012,  1.03E-013,  9.70E-013
HD 128621,  ,         2449924.1,  5.60E-013,  1.41E-013,  1.24E-012,  8.34E-014,  5.58E-014,  9.24E-013,  1.71E-012,  1.27E-013,  6.95E-013,  9.02E-013,  1.02E-013,  1.07E-012
HD 128621,  ,         2449928.2,  3.43E-013,  9.72E-014,  8.42E-013,  -1.64E-014,  5.30E-014,  9.66E-013,  1.83E-012,  1.30E-013,  5.95E-013,  8.96E-013,  9.35E-014,  8.97E-013
A CEN B ,  ,         2449932.1,  3.66E-013,  7.28E-014,  6.20E-013,  2.01E-013,  4.79E-014,  6.61E-013,  1.60E-012,  1.18E-013,  6.21E-013,  1.14E-012,  1.23E-013,  1.23E-012
