Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 128621,,2444762.2,7.90E-13,1.95E-13,7.00E-13,1.46E-13,6.63E-14,4.38E-13,2.53E-12,1.51E-13,-1.15E-13,1.20E-12,9.23E-14,1.64E-13
HD 128620,,2444770.1,-1.40E-12,4.65E-13,5.34E-12,-1.95E-12,2.80E-13,6.45E-12,2.98E-12,4.35E-13,4.83E-12,9.40E-13,5.18E-13,8.70E-12
HD 128621,,2444770.2,-5.02E-13,1.94E-13,1.06E-12,-1.08E-12,2.21E-14,7.73E-13,1.42E-12,1.19E-13,2.87E-13,-1.04E-13,1.14E-13,1.87E-12
HD 128620,,2444778.1,-2.12E-12,4.24E-13,5.63E-12,-1.50E-12,2.93E-13,6.19E-12,3.53E-12,4.45E-13,4.43E-12,2.49E-12,6.59E-13,9.88E-12
HD 128621,,2444778.2,6.20E-14,2.55E-13,1.20E-12,-2.99E-13,3.43E-14,2.01E-13,2.48E-12,1.74E-13,3.06E-13,2.61E-12,1.66E-13,1.95E-13
HD 128620,,2444870.1,-3.27E-12,2.64E-13,5.22E-12,-7.84E-13,2.91E-13,5.65E-12,3.34E-12,4.00E-13,3.82E-12,3.51E-12,6.28E-13,8.33E-12
HD 128620,,2444878,-2.63E-12,3.48E-13,5.77E-12,-1.96E-12,3.17E-13,7.24E-12,2.66E-12,4.34E-13,5.15E-12,4.42E-12,6.48E-13,7.78E-12
HD 128620,,2444884,-2.86E-12,3.42E-13,5.52E-12,-7.39E-14,3.82E-13,6.38E-12,4.33E-12,5.38E-13,5.29E-12,3.48E-12,8.36E-13,1.22E-11
HD 128620,,2444890.1,-2.54E-12,3.14E-13,5.09E-12,-1.23E-12,3.12E-13,6.45E-12,2.98E-12,3.93E-13,4.00E-12,3.43E-12,5.81E-13,7.48E-12
HD 128620,,2444896.1,-2.15E-12,2.55E-13,3.76E-12,-9.32E-13,2.71E-13,5.28E-12,3.58E-13,2.95E-13,4.70E-12,4.67E-12,5.91E-13,6.42E-12
