Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 210334,  ,         2449629.7,  2.28E-013,  3.81E-014,  9.55E-014,  1.71E-013,  1.71E-014,  8.22E-014,  6.40E-013,  3.75E-014,  2.60E-014,  2.72E-013,  2.42E-014,  1.48E-013
HD 210334,  ,         2449629.8,  3.23E-014,  4.75E-014,  3.34E-013,  2.16E-013,  2.02E-014,  8.30E-014,  6.75E-013,  4.13E-014,  5.16E-014,  5.06E-013,  2.96E-014,  8.68E-015
HD 210334,  ,         2449629.9,  3.68E-013,  7.34E-014,  2.88E-014,  -8.98E-014,  2.26E-014,  2.86E-013,  4.65E-014,  2.88E-014,  3.02E-013,  8.31E-014,  2.72E-014,  2.70E-013
HD 210334,  ,         2449629.9,  3.67E-013,  5.82E-014,  7.58E-014,  3.19E-013,  2.59E-014,  8.33E-014,  7.91E-013,  5.09E-014,  1.04E-013,  5.96E-013,  3.80E-014,  7.48E-014
HD 210334,  ,         2449630.0,  1.51E-013,  5.06E-014,  2.30E-013,  1.91E-013,  2.10E-014,  1.36E-013,  7.51E-013,  4.72E-014,  9.07E-014,  5.82E-013,  3.55E-014,  6.22E-014
AR LAC  ,  ,         2449630.1,  4.29E-013,  7.59E-014,  2.15E-013,  4.09E-013,  3.46E-014,  1.81E-013,  1.38E-012,  7.98E-014,  1.21E-013,  1.31E-012,  7.81E-014,  1.79E-013
AR LAC  ,  ,         2449630.2,  1.67E-013,  3.66E-014,  1.48E-013,  1.53E-013,  1.68E-014,  9.52E-014,  7.93E-013,  4.71E-014,  5.25E-014,  4.20E-013,  2.82E-014,  8.61E-014
AR LAC  ,  ,         2449630.2,  1.04E-013,  3.60E-014,  1.75E-013,  2.09E-013,  1.89E-014,  7.82E-014,  7.47E-013,  4.63E-014,  7.26E-014,  5.55E-013,  3.58E-014,  9.35E-014
AR LAC  ,  ,         2449630.3,  1.14E-013,  4.24E-014,  2.06E-013,  2.56E-013,  2.41E-014,  1.24E-013,  7.53E-013,  4.60E-014,  6.07E-014,  5.77E-013,  3.90E-014,  1.16E-013
HD 210334,  ,         2449630.4,  2.23E-013,  3.08E-014,  -2.92E-014,  2.76E-013,  2.09E-014,  2.50E-014,  5.19E-013,  3.41E-014,  6.07E-014,  2.72E-013,  2.38E-014,  1.23E-013
HD 210334,  ,         2449630.5,  1.67E-013,  3.42E-014,  8.33E-014,  2.19E-013,  2.06E-014,  9.39E-014,  5.35E-013,  3.53E-014,  7.15E-014,  5.12E-013,  3.93E-014,  1.98E-013
HD 210334,  ,         2449630.5,  2.40E-013,  3.44E-014,  3.75E-014,  1.25E-013,  1.65E-014,  1.08E-013,  6.96E-013,  4.15E-014,  3.80E-014,  2.70E-013,  2.29E-014,  1.22E-013
HD 210334,  ,         2449630.6,  2.05E-013,  3.38E-014,  9.35E-014,  1.03E-013,  1.83E-014,  1.73E-013,  8.23E-013,  4.81E-014,  4.15E-014,  4.97E-013,  3.24E-014,  8.89E-014
HD 210334,  ,         2449630.7,  1.29E-013,  3.02E-014,  1.05E-013,  2.30E-013,  1.81E-014,  4.24E-014,  6.93E-013,  4.26E-014,  6.26E-014,  4.56E-013,  2.89E-014,  5.87E-014
HD 210334,  ,         2449630.8,  2.13E-013,  3.03E-014,  7.51E-016,  2.04E-013,  2.02E-014,  1.05E-013,  7.95E-013,  4.82E-014,  6.98E-014,  4.95E-013,  3.20E-014,  8.08E-014
HD 210334,  ,         2449630.8,  7.62E-013,  1.04E-013,  -5.84E-013,  2.35E-013,  2.36E-014,  3.27E-014,  5.49E-013,  3.73E-014,  1.42E-014,  9.01E-014,  1.23E-014,  -1.76E-015
HD 210334,  ,         2449630.9,  2.10E-013,  6.69E-014,  2.42E-014,  6.43E-014,  1.30E-014,  2.63E-014,  6.77E-013,  3.97E-014,  -3.43E-014,  2.17E-013,  2.03E-014,  6.31E-014
HD 210334,  ,         2449631.0,  3.80E-013,  4.27E-014,  -1.30E-015,  2.04E-013,  2.10E-014,  1.18E-013,  6.84E-013,  4.54E-014,  1.36E-013,  6.82E-013,  3.84E-014,  2.02E-014
AR LAC  ,  ,         2449631.0,  1.91E-013,  4.17E-014,  1.21E-013,  2.12E-013,  1.89E-014,  7.49E-014,  6.62E-013,  4.44E-014,  1.41E-013,  4.72E-013,  3.17E-014,  1.01E-013
AR LAC  ,  ,         2449631.1,  2.85E-013,  4.02E-014,  8.62E-014,  2.67E-013,  2.37E-014,  1.16E-013,  8.83E-013,  5.21E-014,  6.07E-014,  4.03E-013,  3.02E-014,  1.41E-013
AR LAC  ,  ,         2449631.2,  1.30E-013,  4.20E-014,  1.50E-013,  1.10E-013,  1.57E-014,  1.17E-013,  8.03E-013,  4.80E-014,  8.05E-014,  2.90E-013,  2.32E-014,  1.17E-013
AR LAC  ,  ,         2449631.3,  2.18E-013,  4.24E-014,  1.54E-013,  2.10E-013,  2.01E-014,  9.20E-014,  7.16E-013,  4.55E-014,  9.71E-014,  6.75E-013,  4.30E-014,  1.13E-013
AR LAC  ,  ,         2449631.3,  1.77E-013,  3.05E-014,  1.01E-013,  2.30E-013,  2.39E-014,  1.60E-013,  6.38E-013,  3.86E-014,  4.74E-014,  4.49E-013,  3.03E-014,  9.87E-014
HD 210334,  ,         2449631.4,  1.12E-013,  2.21E-014,  5.34E-014,  9.19E-014,  1.18E-014,  8.08E-014,  3.65E-013,  2.30E-014,  3.77E-014,  3.39E-013,  2.00E-014,  1.89E-014
HD 210334,  ,         2449631.5,  3.02E-014,  2.47E-014,  9.98E-014,  5.99E-014,  9.08E-015,  4.60E-014,  3.00E-013,  1.86E-014,  1.04E-014,  1.93E-013,  1.54E-014,  6.09E-014
HD 210334,  ,         2449631.6,  9.85E-014,  3.50E-014,  9.63E-014,  1.68E-013,  1.60E-014,  5.93E-014,  3.84E-013,  2.58E-014,  5.94E-014,  3.71E-013,  2.62E-014,  9.24E-014
HD 210334,  ,         2449631.7,  1.82E-013,  2.92E-014,  1.19E-014,  1.68E-013,  1.67E-014,  7.93E-014,  5.35E-013,  3.33E-014,  5.69E-014,  5.32E-013,  3.30E-014,  6.88E-014
HD 210334,  ,         2449631.7,  2.47E-013,  4.47E-014,  4.41E-014,  1.75E-013,  1.88E-014,  1.06E-013,  5.56E-013,  3.54E-014,  6.84E-014,  4.56E-013,  2.72E-014,  2.99E-014
HD 210334,  ,         2449631.8,  -2.08E-013,  8.17E-014,  3.77E-013,  3.34E-013,  2.99E-014,  -1.93E-015,  5.58E-013,  4.37E-014,  9.50E-014,  6.49E-014,  1.86E-014,  1.12E-013
HD 210334,  ,         2449631.9,  1.27E-012,  3.13E-013,  -1.19E-012,  9.17E-013,  7.72E-014,  2.17E-013,  7.68E-013,  5.79E-014,  3.22E-014,  4.47E-013,  4.04E-014,  1.02E-013
HD 210334,  ,         2449631.9,  5.08E-013,  1.24E-013,  -1.96E-013,  3.21E-013,  2.31E-014,  3.04E-015,  8.98E-013,  5.36E-014,  4.45E-014,  2.20E-013,  3.08E-014,  2.91E-013
HD 210334,  ,         2449632.0,  3.20E-013,  3.71E-014,  7.12E-014,  1.37E-013,  1.68E-014,  1.39E-013,  7.35E-013,  4.61E-014,  1.28E-013,  5.01E-013,  3.05E-014,  6.24E-014
