Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 131156,  ,         2446605.8,  2.89E-013,  2.96E-014,  1.32E-013,  4.50E-014,  1.13E-014,  1.52E-013,  3.84E-013,  2.63E-014,  1.11E-013,  3.24E-013,  2.48E-014,  1.52E-013
HD131156,  ,         2447320.4,  2.62E-013,  3.89E-014,  2.31E-013,  5.83E-014,  1.13E-014,  1.22E-013,  5.00E-013,  3.31E-014,  1.06E-013,  3.78E-013,  2.71E-014,  1.26E-013
HD131156,  ,         2447320.7,  9.90E-014,  3.31E-014,  2.06E-013,  -3.40E-014,  1.08E-014,  1.82E-013,  3.49E-013,  2.88E-014,  1.53E-013,  4.57E-013,  2.77E-014,  4.40E-014
HD 131156,  ,         2447529.7,  4.15E-013,  4.61E-014,  1.67E-013,  8.56E-014,  1.51E-014,  1.61E-013,  3.98E-013,  3.32E-014,  2.14E-013,  3.34E-013,  2.95E-014,  2.20E-013
HD 131156,  ,         2447602.7,  2.43E-013,  4.38E-014,  1.60E-013,  1.33E-013,  2.06E-014,  1.68E-013,  4.81E-013,  3.34E-014,  1.00E-013,  2.88E-013,  2.88E-014,  2.17E-013
HD 131156,  ,         2447624.4,  3.70E-013,  4.46E-014,  2.10E-013,  5.38E-014,  1.32E-014,  1.58E-013,  4.29E-013,  2.83E-014,  8.31E-014,  2.78E-013,  2.69E-014,  2.23E-013
HD 131156,  ,         2447639.5,  2.73E-013,  3.72E-014,  1.77E-013,  8.43E-014,  1.41E-014,  1.38E-013,  5.43E-013,  3.47E-014,  9.67E-014,  3.46E-013,  2.86E-014,  1.91E-013
HD 131156,  ,         2447925.5,  3.39E-013,  4.63E-014,  1.80E-013,  2.51E-014,  1.32E-014,  1.77E-013,  4.41E-013,  3.00E-014,  9.52E-014,  3.56E-013,  3.00E-014,  2.00E-013
HD131156,  ,         2448276.8,  1.59E-013,  2.35E-014,  1.06E-013,  6.85E-014,  9.70E-015,  9.32E-014,  3.54E-013,  2.40E-014,  9.40E-014,  3.16E-013,  2.36E-014,  1.33E-013
HD 131156,  ,         2449117.3,  2.34E-013,  3.08E-014,  1.25E-013,  5.74E-014,  1.26E-014,  1.42E-013,  3.44E-013,  2.51E-014,  1.01E-013,  2.25E-013,  2.03E-014,  1.45E-013
HD 131156,  ,         2449118.3,  3.05E-013,  4.03E-014,  2.16E-013,  4.21E-014,  1.14E-014,  1.20E-013,  4.99E-013,  3.07E-014,  4.94E-014,  1.58E-013,  2.09E-014,  2.06E-013
HD131156,  ,         2449120.4,  2.23E-013,  2.95E-014,  1.54E-013,  1.86E-014,  1.15E-014,  1.69E-013,  4.55E-013,  3.00E-014,  1.00E-013,  3.35E-013,  2.69E-014,  1.73E-013
