Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
EPS AUR ,  ,         2445206.0,  1.62E-014,  6.30E-014,  3.42E-013,  -6.10E-013,  5.20E-014,  1.26E-012,  8.42E-014,  6.96E-014,  9.26E-013,  1.05E-013,  1.44E-013,  2.31E-012
EPS AUR ,  ,         2445236.1,  1.17E-012,  4.85E-013,  -4.66E-013,  -1.27E-013,  1.15E-013,  8.27E-013,  -5.26E-014,  1.34E-013,  1.22E-012,  -2.53E-013,  2.45E-013,  3.78E-012
EPS AUR ,  ,         2445236.1,  9.49E-014,  4.66E-014,  2.16E-013,  -4.72E-013,  3.54E-014,  8.62E-013,  -8.19E-014,  6.02E-014,  8.85E-013,  -1.64E-014,  1.12E-013,  1.86E-012
EPS AUR ,  ,         2445260.9,  8.04E-013,  1.10E-013,  -5.07E-013,  -2.64E-013,  6.14E-014,  9.06E-013,  1.38E-012,  1.24E-013,  6.01E-013,  6.63E-013,  1.53E-013,  1.94E-012
EPS AUR ,  ,         2445261.0,  -9.45E-014,  2.02E-014,  2.61E-013,  -3.95E-013,  3.49E-014,  1.00E-012,  2.78E-013,  5.66E-014,  7.75E-013,  1.62E-014,  9.68E-014,  1.85E-012
EPS AUR ,  ,         2445283.4,  7.50E-014,  1.01E-013,  -6.56E-015,  -2.82E-013,  6.07E-014,  9.50E-013,  -2.03E-013,  7.19E-014,  1.24E-012,  6.59E-013,  1.23E-013,  1.48E-012
EPS AUR ,  ,         2445283.4,  -1.41E-013,  1.97E-014,  3.15E-013,  -2.92E-013,  3.60E-014,  9.38E-013,  1.36E-013,  5.41E-014,  8.78E-013,  -1.34E-013,  9.85E-014,  2.04E-012
HD 31964,  ,         2445290.1,  -1.45E-013,  2.40E-014,  2.84E-013,  -2.99E-013,  3.34E-014,  8.83E-013,  2.70E-013,  5.80E-014,  8.03E-013,  -1.07E-014,  9.50E-014,  1.83E-012
EPS AUR ,  ,         2445301.7,  -1.12E-014,  9.16E-014,  3.41E-013,  -1.79E-013,  8.13E-014,  1.29E-012,  1.66E-013,  7.53E-014,  9.81E-013,  7.98E-014,  1.16E-013,  1.95E-012
EPS AUR ,  ,         2445301.7,  -1.26E-013,  5.04E-014,  3.79E-013,  -3.25E-013,  5.29E-014,  1.12E-012,  3.12E-013,  7.46E-014,  9.82E-013,  2.46E-014,  1.16E-013,  2.13E-012
EPS AUR ,  ,         2445301.8,  -5.92E-014,  2.18E-014,  2.62E-013,  -3.14E-013,  4.02E-014,  1.03E-012,  1.21E-014,  5.96E-014,  1.10E-012,  -2.63E-013,  1.06E-013,  2.31E-012
EPS AUR ,  ,         2445326.5,  -1.18E-013,  1.92E-014,  2.89E-013,  -3.67E-013,  3.66E-014,  1.02E-012,  2.28E-013,  5.84E-014,  8.66E-013,  -7.38E-014,  1.07E-013,  2.14E-012
EPS AUR ,  ,         2445326.6,  2.82E-013,  1.04E-013,  2.57E-013,  -3.05E-014,  7.53E-014,  1.07E-012,  7.06E-015,  6.12E-014,  8.89E-013,  -1.15E-013,  1.20E-013,  2.24E-012
EPS AUR ,  ,         2445336.6,  -3.77E-013,  6.68E-014,  3.04E-013,  -6.43E-013,  4.08E-014,  1.01E-012,  5.04E-013,  9.48E-014,  9.75E-013,  5.50E-013,  1.43E-013,  1.96E-012
EPS AUR ,  ,         2445336.7,  4.10E-013,  9.25E-014,  1.65E-013,  -4.42E-013,  4.89E-014,  9.34E-013,  2.10E-013,  7.88E-014,  9.11E-013,  -8.66E-014,  1.32E-013,  2.32E-012
EPS AUR ,  ,         2445351.5,  -8.23E-014,  1.55E-014,  1.68E-013,  -2.26E-013,  3.79E-014,  8.86E-013,  2.74E-013,  5.90E-014,  8.21E-013,  -1.45E-013,  9.69E-014,  2.01E-012
EPS AUR ,  ,         2445351.6,  6.43E-014,  7.65E-014,  5.89E-014,  4.74E-015,  5.45E-014,  6.57E-013,  -2.26E-013,  5.24E-014,  9.65E-013,  -4.12E-014,  1.13E-013,  2.04E-012
EPS AUR ,  ,         2445374.4,  3.62E-014,  4.37E-014,  3.08E-013,  -2.09E-013,  4.51E-014,  8.23E-013,  2.94E-013,  8.07E-014,  8.96E-013,  -1.33E-013,  1.22E-013,  2.17E-012
EPS AUR ,  ,         2445374.5,  -9.48E-014,  7.96E-014,  2.77E-013,  -6.37E-013,  7.54E-014,  1.67E-012,  1.82E-013,  6.94E-014,  8.66E-013,  -4.19E-013,  1.24E-013,  2.61E-012
HD 31964,  ,         2445413.7,  -1.97E-013,  2.81E-014,  3.94E-013,  -4.40E-013,  4.12E-014,  1.16E-012,  2.50E-013,  7.00E-014,  1.05E-012,  -7.56E-014,  1.40E-013,  2.77E-012
HD 31964,  ,         2445413.8,  -1.23E-013,  2.63E-014,  3.26E-013,  -2.76E-013,  4.92E-014,  1.14E-012,  1.43E-013,  7.24E-014,  1.19E-012,  2.63E-015,  1.36E-013,  2.63E-012
EPS AUR ,  ,         2445422.4,  3.64E-014,  3.67E-014,  2.00E-013,  -2.33E-013,  4.98E-014,  1.05E-012,  3.68E-013,  7.02E-014,  8.92E-013,  -2.36E-013,  1.15E-013,  2.41E-012
EPS AUR ,  ,         2445422.5,  -7.09E-014,  1.04E-013,  4.35E-013,  -4.89E-013,  6.73E-014,  1.28E-012,  2.24E-013,  8.00E-014,  9.90E-013,  -2.99E-013,  1.41E-013,  2.80E-012
EPS AUR ,  ,         2445422.5,  -1.06E-013,  2.09E-014,  3.14E-013,  -3.61E-013,  4.27E-014,  1.14E-012,  6.20E-014,  5.47E-014,  9.61E-013,  -1.65E-013,  1.14E-013,  2.38E-012
HD 31964,  ,         2445443.2,  -3.84E-013,  1.27E-013,  3.46E-013,  -3.41E-013,  1.13E-013,  1.71E-012,  2.84E-013,  8.73E-014,  7.22E-013,  2.07E-013,  1.31E-013,  1.76E-012
EPS AUR ,  ,         2445446.3,  3.71E-014,  8.11E-014,  2.78E-013,  -6.69E-013,  6.00E-014,  1.44E-012,  2.92E-013,  5.85E-014,  5.69E-013,  2.47E-014,  1.11E-013,  1.95E-012
EPS AUR ,  ,         2445446.4,  -1.37E-013,  2.41E-014,  3.25E-013,  -3.08E-013,  3.90E-014,  9.77E-013,  1.35E-013,  6.24E-014,  1.00E-012,  6.56E-014,  1.19E-013,  2.22E-012
HD31964 ,  ,         2445555.4,  -1.37E-013,  1.73E-014,  2.69E-013,  -1.63E-013,  4.21E-014,  9.14E-013,  1.40E-013,  5.62E-014,  9.02E-013,  2.29E-014,  1.01E-013,  1.92E-012
HD31964 ,  ,         2445555.4,  5.82E-013,  1.45E-013,  2.56E-013,  4.87E-014,  9.42E-014,  1.17E-012,  3.10E-013,  7.91E-014,  8.12E-013,  -8.21E-014,  1.32E-013,  2.35E-012
EPS AUR ,  ,         2445576.1,  7.19E-013,  1.10E-013,  -4.08E-013,  4.49E-013,  6.43E-014,  2.15E-013,  -4.93E-013,  5.46E-014,  1.09E-012,  2.45E-013,  1.39E-013,  2.09E-012
EPS AUR ,  ,         2445576.2,  -1.38E-013,  1.65E-014,  2.70E-013,  -2.09E-013,  3.32E-014,  8.05E-013,  1.35E-013,  4.84E-014,  7.68E-013,  -7.52E-014,  9.64E-014,  1.94E-012
EPS AUR ,  ,         2445692.8,  1.14E-013,  9.25E-014,  2.27E-013,  2.84E-013,  7.58E-014,  7.20E-013,  -4.02E-014,  7.25E-014,  1.12E-012,  -2.97E-013,  1.04E-013,  2.07E-012
EPS AUR ,  ,         2445692.8,  -1.76E-013,  1.77E-014,  3.16E-013,  -3.16E-013,  3.57E-014,  9.49E-013,  1.82E-013,  5.61E-014,  8.60E-013,  -1.38E-014,  1.10E-013,  2.13E-012
EPS AUR ,  ,         2445718.2,  -1.59E-013,  1.60E-014,  3.14E-013,  -2.35E-013,  3.67E-014,  9.01E-013,  1.13E-013,  5.22E-014,  8.68E-013,  -1.38E-015,  1.06E-013,  2.07E-012
EPS AUR ,  ,         2445718.3,  1.79E-013,  9.83E-014,  5.37E-014,  -1.86E-013,  8.25E-014,  1.27E-012,  1.03E-013,  6.10E-014,  7.50E-013,  4.05E-013,  1.24E-013,  1.77E-012
EPS AUR ,  ,         2445718.3,  -4.15E-015,  3.02E-014,  1.57E-013,  -1.24E-013,  4.75E-014,  9.04E-013,  3.13E-013,  5.73E-014,  6.99E-013,  -2.58E-013,  1.03E-013,  2.18E-012
HD31964 ,  ,         2445719.9,  -1.49E-013,  3.78E-014,  3.75E-013,  -1.17E-013,  5.18E-014,  9.71E-013,  2.98E-013,  6.85E-014,  9.24E-013,  1.45E-013,  1.27E-013,  2.25E-012
HD31964 ,  ,         2445719.9,  6.29E-013,  1.16E-013,  -2.33E-013,  -9.60E-014,  8.46E-014,  1.16E-012,  6.52E-013,  9.47E-014,  8.06E-013,  -3.40E-013,  1.28E-013,  2.56E-012
HD31964 ,  ,         2445720.0,  -8.10E-014,  1.78E-014,  2.30E-013,  -2.31E-013,  4.06E-014,  9.60E-013,  2.03E-013,  5.60E-014,  8.37E-013,  -1.00E-013,  1.14E-013,  2.31E-012
EPSILON AUR,  ,         2445729.2,  -1.42E-013,  1.47E-014,  2.86E-013,  -2.62E-013,  3.72E-014,  9.44E-013,  2.23E-013,  5.42E-014,  8.03E-013,  -1.51E-013,  9.57E-014,  2.01E-012
EPSILON AUR,  ,         2445729.3,  2.26E-013,  9.48E-014,  9.52E-014,  5.90E-014,  8.53E-014,  1.12E-012,  3.62E-013,  7.22E-014,  7.26E-013,  -3.54E-013,  1.14E-013,  2.32E-012
EPSILON AUR,  ,         2445729.3,  1.15E-014,  2.85E-014,  1.10E-013,  -1.53E-013,  4.96E-014,  9.72E-013,  4.24E-013,  5.96E-014,  6.34E-013,  -3.80E-013,  1.10E-013,  2.44E-012
EPSILON AUR,  ,         2445759.0,  -1.50E-013,  1.73E-014,  3.13E-013,  -2.54E-013,  3.64E-014,  9.17E-013,  2.31E-013,  5.79E-014,  8.59E-013,  -1.29E-013,  1.02E-013,  2.11E-012
